codigo_nacional,codigo_dcp,nombre_del_medicamento,ficha_tecnica,sustancias_activas,codigo_atc,dosis_y_como_tomar,receta,generico,laboratorio,para_que_se_utiliza,efectos_adversos_y_interacciones
600000,2431000140106,AMOXICILINA /ACIDO CLAVULANICO SALA 500/50 mg POLVO PARA SOLUCION INYECTABLE Y PARA PERFUSION EFG,https://cima.aemps.es/cima/pdfs/es/ft/66337/66337_ft.pdf,amoxicilina + ácido clavulánico,J01CR02,VÍA INTRAVENOSA  (Amoxicilina/Ácido clavulánico 500 mg/50 mg inyectable),SI,SI,"LABORATORIOS REIG JOFRE, S.A.",consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/66337/66337_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/66337/66337_ft.pdf
600010,407012000,INSPRA 50 mg COMPRIMIDOS RECUBIERTOS CON PELICULA,https://cima.aemps.es/cima/pdfs/es/ft/66355/66355_ft.pdf,eplerenona,C03DA04,VÍA ORAL  (Eplerenona 50 mg comprimido),SI,NO,VIATRIS HEALTHCARE S.L.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/66355/66355_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/66355/66355_ft.pdf
600011,407011007,INSPRA 25 mg COMPRIMIDOS RECUBIERTOS CON PELICULA,https://cima.aemps.es/cima/pdfs/es/ft/66356/66356_ft.pdf,eplerenona,C03DA04,VÍA ORAL  (Eplerenona 25 mg comprimido),SI,NO,VIATRIS HEALTHCARE S.L.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/66356/66356_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/66356/66356_ft.pdf
600017,322173001,ONDANSETRON RATIOPHARM 4 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,https://cima.aemps.es/cima/pdfs/es/ft/66393/66393_ft.pdf,ondansetrón,A04AA01,VÍA ORAL  (Ondansetrón 4 mg comprimido),SI,SI,RATIOPHARM ESPANA S.A.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/66393/66393_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/66393/66393_ft.pdf
600018,322172006,ONDANSETRON RATIOPHARM 4 mg/2ml SOLUCION INYECTABLE,https://cima.aemps.es/cima/pdfs/es/ft/66394/66394_ft.pdf,ondansetrón,A04AA01,VÍA INTRAVENOSA  (Ondansetrón 4 mg inyectable 2 ml),SI,NO,RATIOPHARM ESPANA S.A.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/66394/66394_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/66394/66394_ft.pdf
600019,322179002,ONDANSETRON RATIOPHARM 8 mg/4ml SOLUCION INYECTABLE,https://cima.aemps.es/cima/pdfs/es/ft/66395/66395_ft.pdf,ondansetrón,A04AA01,VÍA INTRAVENOSA  (Ondansetrón 8 mg inyectable 4 ml),SI,NO,RATIOPHARM ESPANA S.A.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/66395/66395_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/66395/66395_ft.pdf
600020,322174007,ONDANSETRON RATIOPHARM 8 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,https://cima.aemps.es/cima/pdfs/es/ft/66396/66396_ft.pdf,ondansetrón,A04AA01,VÍA ORAL  (Ondansetrón 8 mg comprimido),SI,SI,RATIOPHARM ESPANA S.A.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/66396/66396_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/66396/66396_ft.pdf
600022,60901000140107,CALMANTE VITAMINADO PEREZGIMENEZ COMPRIMIDOS,https://cima.aemps.es/cima/pdfs/es/ft/13473/13473_ft.pdf,ácido acetilsalicílico + cafeína + tiamina,N02BA51,VÍA ORAL  (Ácido acetilsalicílico/Cafeína/Tiamina 500 mg/50 mg/2 mg comprimido),NO,NO,LABORATORIOS COMBIX S.L.U.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/13473/13473_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/13473/13473_ft.pdf
600023,321987003,CITALVIR 20 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,https://cima.aemps.es/cima/pdfs/es/ft/66401/66401_ft.pdf,citalopram,N06AB04,VÍA ORAL  (Citalopram 20 mg comprimido),SI,SI,ABABOR PHARMACEUTICALS S.L.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/66401/66401_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/66401/66401_ft.pdf
600024,321989000,CITALVIR 10 mg COMPRIMIDOS RECUBIERTOS CON PELICULA,https://cima.aemps.es/cima/pdfs/es/ft/66402/66402_ft.pdf,citalopram,N06AB04,VÍA ORAL  (Citalopram 10 mg comprimido),SI,NO,ABABOR PHARMACEUTICALS S.L.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/66402/66402_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/66402/66402_ft.pdf
